10.64.250.254 - - [13/Feb/2026 17:25:07] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:08] "GET /index.html HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:08] "GET /main.dart.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:08] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:08] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:08] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:10] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:10] "GET /flutter_service_worker.js?v=1096406208 HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:10] "GET /main.dart.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:10] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:10] "GET /index.html HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:10] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:10] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:12] "GET /service-worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:12] code 404, message File not found
10.64.250.254 - - [13/Feb/2026 17:25:12] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.250.254 - - [13/Feb/2026 17:25:12] "GET /manifest.json HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:12] code 404, message File not found
10.64.250.254 - - [13/Feb/2026 17:25:12] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.250.254 - - [13/Feb/2026 17:25:12] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:12] "GET /index.html HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:12] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:12] "GET /main.dart.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:13] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:13] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:15] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:15] "GET /flutter_service_worker.js?v=1096406208 HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:16] "GET /index.html HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:16] "GET /main.dart.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:16] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:16] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:16] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
