Serving HTTP on 0.0.0.0 port 5060 (http://0.0.0.0:5060/) ...
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /icons/Icon-512.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:45:53] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:46:53] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:47:53] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:13] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:13] "GET / HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:13] "GET /audio_player.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:13] "GET /flutter_bootstrap.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:14] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:14] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:14] "GET /offline.html HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:14] "GET /flutter.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:14] "GET /manifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:14] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:14] "GET /icons/Icon-192.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:14] "GET /icons/Icon-512.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:15] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:15] "GET /assets/FontManifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:15] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:15] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:16] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:16] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:16] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:16] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:16] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:16] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:25] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:27] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:29] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:29] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:48:30] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:48:31] "GET /main.dart.js HTTP/1.1" 200 -
