Serving HTTP on 0.0.0.0 port 5060 (http://0.0.0.0:5060/) ...
10.64.32.198 - - [07/Feb/2026 20:08:37] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:37] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:37] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:37] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:37] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:39] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:08:39] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:39] "GET / HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:08:39] "GET /flutter.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:08:39] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:08:41] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:08:41] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:41] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:41] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:41] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:41] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:43] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:21] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:22] "GET / HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:22] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:25] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:25] "GET /audio_player.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:25] "GET /flutter_bootstrap.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:26] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:26] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:26] "GET /offline.html HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:26] "GET /flutter.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:26] "GET /manifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:26] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:26] "GET /icons/Icon-512.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:26] "GET /icons/Icon-192.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:27] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:27] "GET /assets/FontManifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:28] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:28] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:28] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:28] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:29] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:29] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:29] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:29] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:29] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:31] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:31] "GET /flutter_service_worker.js?v=3949168911 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:31] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:31] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:31] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:31] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:31] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:33] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:33] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:34] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:35] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:09:35] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:35] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:35] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:35] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:35] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:09:37] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:10:33] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:33] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:40] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:40] "GET / HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:40] "GET /flutter_bootstrap.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:40] "GET /audio_player.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:41] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:41] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:41] "GET /offline.html HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:41] "GET /flutter.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:41] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:41] "GET /manifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:41] "GET /icons/Icon-512.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:41] "GET /icons/Icon-192.png HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:42] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:42] "GET /assets/FontManifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:42] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:42] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:44] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:44] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:44] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:44] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:44] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:44] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:46] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:48] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:48] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:48] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:49] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:51] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:11:51] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:51] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:51] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:51] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:51] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:11:53] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:01] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:02] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:02] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:04] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:05] "GET /flutter_service_worker.js?v=1170114085 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:05] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:05] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:05] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:05] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:05] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:15] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:15] "GET / HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:15] "GET /audio_player.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:15] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:12:15] "GET /sw.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:16] "GET /offline.html HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:16] "GET /flutter.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:16] "GET /manifest.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:16] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:12:16] "GET /icons/Icon-192.png HTTP/1.1" 304 -
